gene_ID,9239-ZC-0007_S1_control,9239-ZC-0008_S1_control,9239-ZC-0009_S1_control,9239-ZC-0010_S1_KCTie2,9239-ZC-0011_S1_KCTie2,9239-ZC-0012_S1_KCTie2
ENSMUSG00000102927,35.7178,46.2496,33.8245,17.7645,32.5096,36.2919
ENSMUSG00000102929,38.8693,43.772,46.0014,32.1981,30.8425,24.497
ENSMUSG00000102930,60.9303,52.8567,33.8245,42.1906,50.8484,56.2524
ENSMUSG00000102939,26.2631,40.4684,50.0603,24.4261,40.0119,36.2919
ENSMUSG00000102950,58.8292,61.1156,63.5901,53.2934,57.517,61.6962
ENSMUSG00000102951,12.6063,27.2542,27.0596,31.0878,25.0074,22.6824
ENSMUSG00000102953,51.4756,48.7273,35.1775,36.6392,49.1812,37.1992
ENSMUSG00000102964,167.033,141.227,156.946,146.557,152.545,132.465
ENSMUSG00000102967,28.3641,66.0709,60.8841,33.3084,51.682,38.1065
ENSMUSG00000102976,489.181,510.181,503.62,648.036,652.784,490.37
ENSMUSG00000102982,293.096,348.524,299.009,277.57,285.084,349.309
ENSMUSG00000102989,24.162,39.6425,27.0596,27.757,32.5096,22.6824
ENSMUSG00000103000,37.8188,54.5085,50.0603,42.1906,44.1798,42.643
ENSMUSG00000103001,66.3589,46.8978,46.622,57.8348,71.44,64.4137
ENSMUSG00000103002,31.5157,23.9507,17.5888,15.5439,41.679,33.57
ENSMUSG00000103009,69.3345,61.2981,28.4126,43.3009,40.0119,45.6919
ENSMUSG00000103024,25.2125,21.473,33.8245,25.5364,30.0089,9.98027
ENSMUSG00000103032,38.8693,29.7319,32.4715,25.5364,21.6731,28.1262
ENSMUSG00000103034,112.233,101.324,92.9628,119.485,105.742,104.511
ENSMUSG00000103037,120.525,101.65,82.5539,104.335,91.0823,111.47
ENSMUSG00000103038,27.3136,27.2542,14.8828,23.3159,23.3402,19.9605
ENSMUSG00000103039,99.7996,96.6287,79.8259,85.4915,70.0207,95.2662
ENSMUSG00000103041,116.441,137.075,124.143,118.193,123.933,149.146
ENSMUSG00000103046,36.7683,40.4684,43.2954,36.6392,57.517,21.7751
ENSMUSG00000103049,71.4355,104.888,74.414,55.5139,62.5185,41.7357
ENSMUSG00000103050,25.2125,40.4684,31.1186,24.4261,20.8395,24.497
ENSMUSG00000103065,160.73,177.153,125.151,146.002,155.046,87.1005
ENSMUSG00000103076,49.3745,48.7273,73.061,48.8523,46.6805,67.14
ENSMUSG00000103081,142.69,165.918,120.435,178.015,138.69,154.908
ENSMUSG00000103085,237.418,179.217,216.477,224.276,195.058,219.566
ENSMUSG00000103088,243.345,305.945,279.389,357.69,249.481,263.959
ENSMUSG00000103089,113.456,80.111,108.238,98.8148,75.8558,98.8954
ENSMUSG00000103094,125.012,134.619,163.711,118.8,145.877,124.3
ENSMUSG00000103101,59.8798,48.7273,37.8835,77.7195,54.1827,72.5838
ENSMUSG00000103103,49.3745,56.9861,69.002,44.4112,36.6775,45.3649
ENSMUSG00000103123,28.3641,48.7273,40.5894,39.97,52.5156,28.1262
ENSMUSG00000103130,69.3345,92.4992,63.5901,79.9401,61.6849,59.8816
ENSMUSG00000103132,49.3745,73.5039,50.0603,67.727,58.3506,51.7159
ENSMUSG00000103133,50.4251,86.718,51.4133,31.0878,52.5156,53.5305
ENSMUSG00000103137,22.061,37.9908,23.0007,23.3159,34.1768,22.6824
ENSMUSG00000103143,87.1933,48.7273,66.2961,54.4037,70.0207,70.7692
ENSMUSG00000103144,40.8344,64.3104,48.9607,57.9214,61.2082,61.9405
ENSMUSG00000103146,127.113,170.133,205.653,164.321,115.034,138.816
ENSMUSG00000103151,67.2334,75.1556,64.9431,74.3887,70.0207,58.067
ENSMUSG00000103159,111.355,99.1063,96.0616,108.807,85.0252,108.876
ENSMUSG00000103160,136.568,134.619,109.591,142.116,144.209,172.386
ENSMUSG00000103162,50.4251,37.1649,44.6484,53.2934,52.5156,48.994
ENSMUSG00000103183,78.8557,76.796,40.4863,104.058,88.5086,78.6722
ENSMUSG00000103206,53.5766,39.6425,47.3543,34.4186,61.6849,43.5503
ENSMUSG00000103207,66.1829,67.7227,55.4722,67.727,83.358,38.1065
ENSMUSG00000103220,238.469,208.123,192.123,210.953,177.553,160.592
ENSMUSG00000103227,65.1324,56.1603,33.8245,52.1831,49.1812,55.3451
ENSMUSG00000103233,73.5365,69.3744,74.414,51.0728,70.8543,66.2327
ENSMUSG00000103234,21.8664,26.3233,23.0007,13.3233,16.6716,19.9605
ENSMUSG00000103238,81.9407,108.191,127.18,84.3812,86.6924,103.432
ENSMUSG00000103247,100.85,85.8922,79.8259,84.3812,92.5274,81.6567
ENSMUSG00000103251,51.4756,33.8613,64.9431,53.2934,61.6849,52.6232
ENSMUSG00000103252,38.8693,78.4592,70.355,46.6317,53.3491,57.1597
ENSMUSG00000103260,35.7178,35.588,31.5191,33.9281,36.6775,19.0532
ENSMUSG00000103270,7.01016,26.2984,20.6255,17.4896,15.2386,17.9361
ENSMUSG00000103272,44.1219,53.6826,50.0603,42.1906,39.1783,50.8086
ENSMUSG00000103273,53.3932,36.432,60.981,43.9991,15.5855,23.6597
ENSMUSG00000103285,115.557,109.017,83.8848,101.035,101.697,90.7297
ENSMUSG00000103291,136.568,142.052,143.416,127.682,120.036,126.114
ENSMUSG00000103293,51.6252,45.9689,57.0136,68.5937,46.132,43.7206
ENSMUSG00000103303,18.9094,25.6025,24.3537,19.985,15.0044,14.5158
ENSMUSG00000103309,37.2545,65.6129,54.9561,40.6969,77.0177,31.3569
